Date,URL,Title,Source,Country,Label
20240815T010000Z,https://borneobulletin.com.bn/explosions-reported-near-two-ships-off-yemen-security-agencies/,Explosions reported near two ships off Yemen : Security agencies,borneobulletin.com.bn,Brunei,2
20240716T194500Z,https://www.hindustantimes.com/india-news/crew-including-13-indians-still-missing-after-oil-tanker-capsizes-off-oman-101721156967207.html,"Crew , including 13 Indians , still missing after oil tanker capsizes off Oman",hindustantimes.com,India,2
20240809T100000Z,https://www.yahoo.com/news/multiple-attacks-target-merchant-ship-091504780.html,Multiple attacks target merchant ship off Yemen : united kingdom agency,yahoo.com,United States,3
20240717T041500Z,https://timesofoman.com/article/147862-oil-tanker-with-13-indians-on-board-sinks-off-oman-coast,Oil tanker with 13 Indians on board sinks off Oman coast,timesofoman.com,Oman,2
20240812T201500Z,https://menafn.com/1108546043/Multiple-Attacks-Target-Merchant-Ship-Off-Yemen-UK-Agency,Multiple Attacks Target Merchant Ship Off Yemen,menafn.com,Qatar,3
20240903T104500Z,https://www.arkansasonline.com/news/2024/sep/03/houthi-rebels-hit-oil-tanker-in-red-sea/,Houthi rebels hit oil tanker in Red Sea | The Arkansas Democrat - Gazette,arkansasonline.com,United States,3
20240903T064500Z,https://www.canberratimes.com.au/story/8751307/yemens-houthi-rebels-target-oil-tanker-in-the-red-sea/?cs=14232,Yemen Houthi rebels target oil tanker in the Red Sea,canberratimes.com.au,Australia,3
20240717T073000Z,https://www.business-standard.com/india-news/oil-tanker-capsize-off-the-oman-coast-13-indians-among-16-crew-missing-124071700310_1.html,"Oil tanker capsize off the Oman coast , 13 Indians among 16 crew missing",business-standard.com,India,2
20240822T164500Z,https://www.cnn.com/2024/08/22/middleeast/oil-tanker-environmental-hazard-red-sea-intl/,Greek - flagged oil tanker poses  environmental hazard  after attack in Red Sea,cnn.com,United States,8
20240720T014500Z,https://www.newsx.com/national/explosions-heard-after-massive-fire-erupts-on-a-cargo-ship-off-goa-coast-1-dead/,"Massive Fire Erupts On A Cargo Ship Off Goa Coast , 1 Dead",newsx.com,India,2
20240718T120000Z,https://www.barrons.com/news/oil-slick-off-yemen-after-huthi-tanker-attack-charity-c9fadddf,Oil Slick Off Yemen After Huthi Tanker Attack : Charity,barrons.com,China,8
20240923T171500Z,https://gcaptain.com/category/marine-environment-news/,Environment Archives,gcaptain.com,United States,13
20240902T214500Z,https://www.zerohedge.com/commodities/oil-tanker-merchant-ship-hit-missiles-another-tanker-burns-risking-worst-spill-century,"Oil Tanker & Merchant Ship Hit By Projectiles As Another Tanker Burns , Risking  Worst Spill This Century  ",zerohedge.com,United States,8
20240902T124500Z,https://www.khaleejtimes.com/world/mena/tanker-merchant-vessel-report-missile-and-drone-attacks,"Tanker , merchant vessel report missile and drone attacks",khaleejtimes.com,United Arab Emirates,3
