headline,description,link,date
South Carolina Ports Reopens New Leatherman Terminal with Weekly Asia Service,South Carolina Ports (SC Ports) celebrated a milestone today with the reopening of new Hugh K. Leatherman Terminal in Charleston. The facility is set to resume,https://gcaptain.com/south-carolina-ports-reopens-new-leatherman-terminal-with-weekly-asia-service/,7 mins ago
U.S. Imports Surge: August Inbound Container Volumes Skyrocket Nearly 20%,"The ten largest U.S. container ports witnessed a staggering 19.3% year-over-year increase in inbound container volume this August, according to the latest",https://gcaptain.com/u-s-imports-surge-august-inbound-container-volumes-skyrocket-nearly-20/,4 hours ago
Experts Warn of Severe Economic Ripple Effects from Looming US Port Strike,"A potential coastwide strike at Atlantic and Gulf Coast container ports could disrupt U.S. supply chains and impact the upcoming holiday shopping season,",https://gcaptain.com/experts-warn-of-severe-economic-ripple-effects-from-looming-us-port-strike/,5 hours ago
US Port Strike Threatens Severe Supply Chain Disruption into 2025,"A looming strike at ports along the US East and Gulf coasts could cause significant supply chain disruptions lasting into 2025, according to recent analysis",https://gcaptain.com/us-port-strike-threatens-severe-supply-chain-disruption-into-2025/,8 hours ago
Crypto Gamblers Bet On East Coast Port Strike,"As global trade gets rocked by geopolitical events, gamblers are betting on supply chain and economic disruptions. Polymarket, a decentralized prediction",https://gcaptain.com/crypto-gamblers-bet-on-east-coast-port-strike/,10 hours ago
"East Coast Port Strike Threatens Supply Chains, Inflation and Presidential Election",By Lisa Baertlein and Timothy Aeppel – NEW YORK (Reuters) – U.S. companies that rely on East and Gulf Coast seaports have been importing,https://gcaptain.com/east-coast-port-strike-threatens-supply-chains-inflation-presidential-election/,10 hours ago
Port of Vancouver Grain Workers Strike in Middle of Harvest,"By Thomas Seal (Bloomberg) — Grain workers at Canada’s biggest port went on strike Tuesday over a dispute regarding hours and pay, setting up what an",https://gcaptain.com/port-of-vancouver-grain-workers-strike-in-middle-of-harvest/,23 hours ago
ILA and USMX at Loggerheads as Coastwide Port Strike Looms,The International Longshoremen’s Association (ILA) and United States Maritime Alliance (USMX) are locked in a contentious negotiation over a new Master,https://gcaptain.com/ila-and-usmx-at-loggerheads-as-coastwide-port-strike-looms/,"September 24, 2024"
Lithium-Ion Battery Fire at Montreal Port Prompts Lockdown,A fire involving a container carrying lithium-ion batteries at the Port of Montreal triggered a temporary stay-at-home order for nearby residents on Monday.,https://gcaptain.com/lithium-ion-battery-fire-at-montreal-port-prompts-lockdown/,"September 23, 2024"
"Port Employers, Union Trade Blame Over Stalled Labor Talks as Critical Deadline Approaches",The U.S. Department of Labor has reached out to the United States Maritime Alliance in anticipation of a potential ports strike on the East and Gulf Coasts by,https://gcaptain.com/port-employers-union-trade-blame-over-stalled-labor-talks-as-critical-deadline-approaches/,"September 23, 2024"
