headline,description,link,date
EPA finalizes VIDA incidental discharge standards,"In a regulatory action that has been long in the works, the U.S. Envionmental Protection Administration has released the pre-publication version of its final rule to establish Vessel Incidental Discharge National Standards",https://www.marinelog.com/inland-coastal/epa-finalizes-vida-incidental-discharge-standards/,"September 25, 2024"
Podcast: Jennifer Carpenter helps lead maritime to success,"In this episode of Marine Log’s Listen Up! Podcast, we once again talk to Jennifer Carpenter, president of American Maritime Partnership (AMP). When we last talked to Jennifer, it was under her",https://www.marinelog.com/podcasts-1/podcast-jennifer-carpenter-helps-lead-maritime-to-success/,"July 31, 2024"
Maersk Line Limited reaches settlement in whistleblower case,"As part of a settlement with the U.S. Department of Labor in a whistleblower case, Maersk’s U.S.-flag subsidiary, Maersk Line Limited is to change its safety reporting policies and compensate a seaman",https://www.marinelog.com/legal/maersk-line-limited-reaches-settlement-in-whistleblower-case/,"July 26, 2024"
Liberian Registry hires Giorgio De Sciora for key role,"The Liberian Registry has named Captain Giorgio De Sciora its new vice president of regulations and standards, maritime operations. In this position, De Sciora will direct and oversee the application of new",https://www.marinelog.com/passenger/cruiseships/liberian-registry-hires-giorgio-de-sciora-for-key-role/,"July 19, 2024"
"Ship owners face hefty emission bills under EU-ETS, warns Oceanly","The integration of the shipping sector into the European Union Emissions Trading System (EU-ETS) brings substantial costs and compliance challenges for ship owners and Rapallo, Italy, headquartered fleet performance solutions specialist Oceanly",https://www.marinelog.com/legal/compliance/ship-owners-face-hefty-emission-bills-under-eu-ets-warns-oceanly/,"June 26, 2024"
Industry makes progress in fight against dangerous CARB DPF requirement,"In a major milestone for mariner safety in California, the California Senate Transportation Committee has voted 14-0 in favor of a measure that would prevent the California Air Resources Board (CARB) from",https://www.marinelog.com/inland-coastal/industry-makes-progress-in-fight-against-dangerous-carb-dpf-requirement/,"June 13, 2024"
FMC launches probe of Canadian ballast water regs,"Pending Canadian ballast water management regulations have been slammed as “the epitome of an unfair business practice,” by the U.S. based Lake Carriers Association (LCA), which filed a petition asking the Federal",https://www.marinelog.com/legal/regulations/fmc-launches-probe-of-canadian-ballast-water-regs/,"May 21, 2024"
EC’s Union Database plan could limit biofuel availability to ships,"Here’s a development that operators with vessels trading to Europe need to pay attention to, particularly if they have hopes of getting European ETS and FuelEU credits by using green methanol or",https://www.marinelog.com/legal/environment/ecs-union-database-plan-could-limit-biofuel-availability-to-ships/,"April 18, 2024"
Denmark will ban scrubber water discharges,"The Danish Ministry of the Environment said today that, from July 1, 2025, the discharge of exhaust gas scrubber water from ships will be prohibited in waters up to 22 kilometers (about",https://www.marinelog.com/legal/environment/denmark-will-ban-scrubber-water-discharges/,"April 11, 2024"
Support grows for USTR to slap U.S. port fees on Chinese-built ships,U.S. Senators Tammy Baldwin (D-Wis.) and Bob Casey (D-Pa.) are seeing growing support for their push for the Biden Administration to initiate an investigation into the People’s Republic of China’s (PRC) unfair,https://www.marinelog.com/legal/legislation/support-grows-for-ustr-to-slap-u-s-port-fees-on-chinese-built-ships/,"April 10, 2024"
USMX seeks NLRB intervention as port strike looms,"With a threatened Maine to Texas port strike on October 1 getting ever nearer, the employers organization, the United States Marine Alliance (USMX), today filed with the National Labor Relations Board (NLRB)",https://www.marinelog.com/inland-coastal/ports-terminals/usmx-seeks-nlrb-intervention-as-port-strike-looms/,"September 26, 2024"
AAPA reconstitutes Latin American presence with AAPA Latin America,The American Association of Port Authorities (AAPA) recently announced the reconstitution of its presence in Latin America with the launch of AAPA Latin America. AAPA says this initiative reflects a strategic decision,https://www.marinelog.com/inland-coastal/ports-terminals/aapa-reconstitutes-latin-american-presence-with-aapa-latin-america/,"September 20, 2024"
Jefferson County Port Authority purchases 18 acre riverside site,"The Jefferson County, Missouri, Port Authority (JCPA) has closed on the $20 million purchase of approximately 18 acres along the Mississippi River at 600 Riverport Way in Herculaneum, Mo. The acreagewas sold",https://www.marinelog.com/inland-coastal/inland/jefferson-county-port-authority-purchases-18-acre-riverside-site/,"September 13, 2024"
Ports of Indiana celebrates opening of its first new dock in 20 years,Local officials and port workers celebrated the opening today of a new $6 million dock that will serve ocean vessels at Ports of Indiana-Burns Harbor. Partially funded by a U.S. Maritime Administration,https://www.marinelog.com/inland-coastal/ports-of-indiana-celebrates-opening-of-its-first-new-dock-in-20-years/,"September 06, 2024"
AWO urges speedy signature of California AB 1122  to protect mariner safety,The California legislature has now passed Assemblymember Dr. Jasmeet Bains’ measure (AB 1122) that would prevent the California Air Resources Board (CARB) from enforcing a potentially deadly requirement in its harbor craft,https://www.marinelog.com/legal/legislation/awo-urges-speedy-signature-of-california-ab-1122-to-protect-mariner-safety/,"September 06, 2024"
MV Canopée: Wind-assisted RO/RO rocket ship makes first U.S. port visit,"The MV Canopée, the world’s first new generation wind-assisted hybrid propulsion commercial RO/RO vessel, arrived in Port Canaveral, Fla., yesterday, marking its inaugural U.S. visit. Launched in 2022, the MV Canopée is",https://www.marinelog.com/news/mv-canopee-wind-assisted-ro-ro-rocket-ship-makes-first-u-s-port-visit/,"September 05, 2024"
VIDEO: ILA ramps up port strike rhetoric,"Fears that a Maine to Texas port strike by the International Longshoremens Association (ILA) could become a reality on October 1 are growing, with Torsten Hartmann, senior director trade management transpacific at",https://www.marinelog.com/inland-coastal/ports-terminals/video-ila-ramps-up-port-strike-rhetoric/,"September 05, 2024"
Port of Bellingham gets $17.9M grant to reconnect the shipping terminal to rail,"The Port of Bellingham, Wash., recently announced that it has secured a $17.9 million federal grant from the U.S. Department of Transportation (DOT). The grant will be used to reconnect the Bellingham",https://www.marinelog.com/inland-coastal/ports-terminals/port-of-bellingham-gets-17-9m-grant-to-reconnect-the-shipping-terminal-to-rail/,"August 28, 2024"
Port of Los Angeles names Calhoun as deputy executive director of harbor administration,"The Port of Los Angeles has appointed Erica Calhoun as its deputy executive director, overseeing the City of Los Angeles Harbor Department’s Administrative Bureau. In this new position, Calhoun will be responsible",https://www.marinelog.com/inland-coastal/ports-terminals/port-of-los-angeles-names-calhoun-as-deputy-executive-director-of-harbor-administration/,"August 23, 2024"
