headline,description,link,date
A Looming East Coast Port Strike Could Shake the Economy,"Businesses are preparing for a strike by dockworkers on the East and Gulf Coasts, which could begin Oct. 1 if negotiations don’t yield a new contract.",https://www.nytimes.com/2024/09/24/business/economy/port-strike-economy.html?searchResultPosition=1,Sept. 24
A drone attack causes damage in the Israeli port city of Eilat.,,https://www.nytimes.com/live/2024/09/25/world/israel-gaza-hamas-hezbollah/a-drone-attack-from-an-iran-backed-group-in-iraq-hits-eilat-in-israel?searchResultPosition=2,Sept. 25
Auto Industry Expects Minimal Disruption From Port Shutdown,"Baltimore is a top destination for car shipments, but companies are finding ways to use other ports on the East Coast.",https://www.nytimes.com/2024/03/28/us/auto-industry-port-baltimore-bridge.html?searchResultPosition=3,March 28
A Remote Alaskan Island Is on High Alert for a Rat,"Wildlife experts fear that a rat could disrupt the island’s delicate balance, so they are pulling out all the stops.",https://www.nytimes.com/2024/09/25/us/rat-alaska-saint-paul-island.html?searchResultPosition=4,Sept. 25
Biden Will Visit Baltimore Next Week After Bridge Collapse,The president’s visit comes as officials start planning for major economic disruptions after a ship struck the Francis Scott Key Bridge.,https://www.nytimes.com/2024/03/29/us/politics/biden-baltimore-bridge-collapse.html?searchResultPosition=5,March 29
‘A Lot of Chaos’: Bridge Collapse Creates Upheaval at Largest U.S. Port for Car Trade,"A bridge collapse closed Baltimore’s port, an important trade hub that ranks first in the nation by the volume of automobiles and light trucks it handles.",https://www.nytimes.com/2024/03/26/business/economy/baltimore-port-cargo-ships.html?searchResultPosition=6,March 26
Biden Hardens Protection Against Cybersecurity Threats to Ports,An executive order expands powers to the Department of Homeland Security amid increased fears of a conflict with China.,https://www.nytimes.com/2024/02/21/us/politics/cybersecurity-ports.html?searchResultPosition=7,Feb. 21
Port Authority Bus Terminal Evacuated After Suspicious Bag Is Reported,"Delays lingered at the bus terminal in Midtown Manhattan after the bag was cleared and no threat was found, the Port Authority said.",https://www.nytimes.com/2023/11/15/nyregion/port-authority-manhattan-evacuation.html?searchResultPosition=8,"Nov. 15, 2023"
What a Prolonged Rail Shutdown in Canada Would Mean for Trade,"Rail labor disruptions in Canada tend to be brief, but a prolonged stoppage could have hurt farmers, automakers and other businesses.",https://www.nytimes.com/2024/08/22/business/economy/canada-rail-strike-us-economy.html?searchResultPosition=9,Aug. 22
Global Trade Needs a China Alternative. India Needs Better Ports.,Efforts to build new ports and expand existing docks could determine whether India emerges as a legitimate option for global factory production.,https://www.nytimes.com/2024/08/20/business/india-jawaharlal-nehru-port.html?searchResultPosition=10,Aug. 20
A Look at the $10 Billion Design for a New Port Authority Bus Terminal,"The Port Authority unveiled a revised design for a replacement of the much-reviled transit hub, which opened in 1950.",https://www.nytimes.com/2024/02/01/nyregion/port-authority-bus-terminal-replacement.html?searchResultPosition=11,Feb. 1
Cargo Ship That Crashed Into Baltimore Bridge Moves Back to Port,"The Dali, which had been pinned under wreckage of the Francis Scott Key Bridge since late March, was refloated early Monday and returned to a berth in Baltimore.",https://www.nytimes.com/2024/05/20/us/dali-moving-key-bridge-baltimore.html?searchResultPosition=12,May 20
New Freighters Could Ease Red Sea Cargo Disruptions,Analysts and shipping executives say they expect costs to fall later this year as companies receive vessels they ordered two to three years ago.,https://www.nytimes.com/2024/02/22/business/economy/global-shipping-red-sea-houthi-attacks.html?searchResultPosition=13,Feb. 22
